pl_name,glat,glon
11 Com b,78.28055,264.1407
11 Com b,78.28055,264.1407
11 UMi b,41.04441,108.719
11 UMi b,41.04441,108.719
11 UMi b,41.04441,108.719
14 And b,-21.05067,106.4116
14 And b,-21.05067,106.4116
14 Her b,46.94491,69.17043
14 Her b,46.94491,69.17043
14 Her b,46.94491,69.17043
14 Her b,46.94491,69.17043
14 Her b,46.94491,69.17043
14 Her b,46.94491,69.17043
16 Cyg B b,13.20426,83.33649
16 Cyg B b,13.20426,83.33649
16 Cyg B b,13.20426,83.33649
16 Cyg B b,13.20426,83.33649
16 Cyg B b,13.20426,83.33649
18 Del b,-21.97489,58.69147
18 Del b,-21.97489,58.69147
1RXS J160929.1-210524 b,22.03035,352.8906
1RXS J160929.1-210524 b,22.03035,352.8906
1RXS J160929.1-210524 b,22.03035,352.8906
1RXS J160929.1-210524 b,22.03035,352.8906
24 Boo b,60.64358,90.16227
24 Sex b,44.7157,245.0853
24 Sex c,44.7157,245.0853
2MASS J01033563-5515561 AB b,-61.77612,299.2698
2MASS J01225093-2439505 b,-82.52019,195.4486
2MASS J01225093-2439505 b,-82.52019,195.4486
2MASS J02192210-3925225 b,-67.98402,252.4534
2MASS J04414489+2301513 b,-15.11435,176.5106
2MASS J12073346-3932539 b,22.54324,293.7904
2MASS J12073346-3932539 b,22.54324,293.7904
2MASS J19383260+4603591 b,11.67429,79.01876
2MASS J21402931+1625183 A b,-26.43736,70.48455
2MASS J22362452+4751425 b,-9.108981,100.7483
30 Ari B b,-32.30954,151.4761
30 Ari B b,-32.30954,151.4761
30 Ari B b,-32.30954,151.4761
4 UMa b,35.95683,151.3589
42 Dra b,27.1255,95.41918
47 UMa b,63.36906,175.7824
47 UMa b,63.36906,175.7824
47 UMa b,63.36906,175.7824
47 UMa b,63.36906,175.7824
47 UMa c,63.36906,175.7824
47 UMa c,63.36906,175.7824
47 UMa d,63.36906,175.7824
51 Eri b,-30.65766,198.6126
51 Eri b,-30.65766,198.6126
51 Eri b,-30.65766,198.6126
51 Peg b,-34.72726,90.06264
51 Peg b,-34.72726,90.06264
51 Peg b,-34.72726,90.06264
51 Peg b,-34.72726,90.06264
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc b,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc c,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc d,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
55 Cnc e,37.6989,196.7947
