name,ra,dec,redshift
SN 2013K,307.8783,-25.59453,
SN 2013ch,302.68004,-21.59756,
SN 2006ai,296.39134,-25.9822,
SN 2012ah,306.50332,-34.61774,
SN 1992ao,306.47475,-34.64233,
SN 1991aq,300.23904,-35.17142,
SN 2007as,294.7882,-20.71181,
SN 2010E,299.01076,-36.89972,
SN 2004ch,308.15161,-16.5682,
SN 2009J,288.31742,-29.53456,
SN 2009iw,288.31527,-29.53051,
SN 2001ke,298.23224,-13.86339,0.36
SN 2013H,290.51326,-18.71596,
SN 2009gd,313.29938,-16.505,
SN 2004M,304.2999,-42.28663,
SN 2014cu,317.30513,-37.72723,
SN 1998cx,318.86326,-17.78643,
SN 2009fz,318.86468,-17.77487,
SN 2014ca,318.85607,-17.64657,
SN 2013B,287.32606,-16.49308,
SN 2002B,282.64159,-31.15982,0.143
SN 2004ga,282.21504,-29.8241,0.11
SN 2010gw,323.20373,-32.85558,
SN 2003gh,283.47136,-21.47703,
SN 1998er,281.8304,-30.48002,
SN 1992U,323.79151,-34.42849,
SN 2014bx,324.78715,-29.81082,
SN 2004O,282.42102,-35.94736,
SN 2013cz,325.22878,-30.30612,
SN 2003ma,280.7042,-32.20413,0.289
SN 2012dk,307.59041,-46.75963,
SN 1999ga,281.32101,-21.52019,
SN 2015F,281.27041,-21.50431,
SN 1999J,279.96887,-31.90121,
SN 2004N,279.92167,-31.92406,
SN 1987A,279.7036,-31.93706,
SN 2013fx,316.14224,-45.0667,
SN 2012fu,281.12784,-36.95204,
SN 2015J,280.85365,-21.47254,
SN 1998eh,325.41832,-35.57832,
SN 1975V,326.23396,-32.91883,
SN 2006bc,280.29421,-22.59957,
SN 1996af,319.64027,-43.22183,0.1
SN 2015bj,285.77431,-13.42871,
SN 2004gp,280.1012,-35.69115,
SN 2005av,325.94721,-35.3015,
SN 1998ew,325.98064,-35.3008,
SN 2009gu,318.34765,-11.52997,
SN 2004aa,279.82333,-37.68953,
SN 2011do,280.09905,-38.44215,
SN 1935C,281.37324,-40.72753,
SN 2004gb,278.54273,-35.9041,0.22
SN 2008ag,327.7007,-23.81861,
SN 1976Q,326.26017,-39.01701,
SN 2008cc,327.11774,-37.46954,
SN 1978J,321.65476,-44.30787,
SN 1983F,328.18819,-23.96307,
SN 2009dq,288.01796,-8.99566,
SN 2014cj,276.86586,-26.21851,
SN 1978K,283.47245,-44.65411,
SN 1962M,283.35951,-44.64481,
SN 2006bh,320.98058,-45.77638,
SN 2009iu,321.00698,-45.78179,
SN 2004fv,327.52015,-20.05686,
SN 2009ge,324.56225,-14.04107,
SN 1982N,328.07404,-39.00363,
SN 1976P,278.9836,-17.21689,
SN 2001cn,329.64097,-24.05366,
SN 1985T,330.18914,-25.75781,
SN 1991E,275.53065,-26.26176,
SN 2015ak,324.37753,-44.52888,
SN 2005cm,326.07449,-42.85647,
SN 1996cr,311.32407,-3.81423,
SN 2013gi,275.13058,-27.32731,
SN 1998df,328.16621,-40.99821,
SN 2012gp,274.66349,-27.67505,
SN 2013ay,330.41871,-23.48855,
SN 2012hb,281.51671,-12.07724,
SN 2008fa,330.97489,-25.66098,
SN 2011cb,321.88412,-47.46671,
SN 1992ba,273.81078,-31.76089,
SN 1993M,331.80267,-26.5615,
SN 2001bd,331.81183,-26.57759,
SN 2011fn,274.41984,-24.55524,
SN 2008bc,283.60387,-8.60403,
SN 2009hm,329.34713,-41.81371,
SN 1983Y,329.3519,-41.81478,
SN 1998cq,304.10034,-53.28321,0.15
